,company,position,salary,lower_bound_salary,upper_bound_salary,url
307,Loblaw Companies,Senior Data Scientist,$71K - CA$76K,CA$71K,CA$76K,"/Salary/Loblaw-Companies-Senior-Data-Scientist-Canada-Salaries-EJI_IE4141.0,16_KO17,38_IL.39,45_IN3.htm"
308,Government of Canada,Senior Data Scientist,$96K - CA$102K,CA$96K,CA$102K,"/Salary/Government-of-Canada-Senior-Data-Scientist-Canada-Salaries-EJI_IE156734.0,20_KO21,42_IL.43,49_IN3.htm"
309,Banque Nationale du Canada/National Bank of Canada,Senior Data Scientist,$67K - CA$73K,CA$67K,CA$73K,"/Salary/Banque-Nationale-du-Canada-National-Bank-of-Canada-Senior-Data-Scientist-Canada-Salaries-EJI_IE8010.0,50_KO51,72_IL.73,79_IN3.htm"
310,ADP,Senior Data Scientist,$92K - CA$99K,CA$92K,CA$99K,"/Salary/ADP-Senior-Data-Scientist-Canada-Salaries-EJI_IE64.0,3_KO4,25_IL.26,32_IN3.htm"
311,Ceridian,Senior Data Scientist,$106K - CA$114K,CA$106K,CA$114K,"/Salary/Ceridian-Senior-Data-Scientist-Canada-Salaries-EJI_IE179.0,8_KO9,30_IL.31,37_IN3.htm"
312,LoyaltyOne,Senior Data Scientist,$100K - CA$109K,CA$100K,CA$109K,"/Salary/LoyaltyOne-Senior-Data-Scientist-Canada-Salaries-EJI_IE30540.0,10_KO11,32_IL.33,39_IN3.htm"
313,Economical Insurance,Senior Data Scientist,$81K - CA$89K,CA$81K,CA$89K,"/Salary/Economical-Insurance-Senior-Data-Scientist-Canada-Salaries-EJI_IE7828.0,20_KO21,42_IL.43,49_IN3.htm"
314,Intuit,Senior Data Scientist,$89K - CA$97K,CA$89K,CA$97K,"/Salary/Intuit-Senior-Data-Scientist-Canada-Salaries-EJI_IE2293.0,6_KO7,28_IL.29,35_IN3.htm"
315,Huawei Technologies,Senior Data Scientist - Hourly Contractor,$63 - CA$69hourly,CA$63,CA$69,"/Contractors-Salary/Huawei-Technologies-Canada-Contractor-Salary-EI_IE9304.0,19_IL.20,26_IN3.htm?filter.jobTitleFTS=Senior+Data+Scientist"
316,Self,Senior Data Scientist,$85K - CA$93K,CA$85K,CA$93K,"/Salary/Self-Senior-Data-Scientist-Canada-Salaries-EJI_IE1560378.0,4_KO5,26_IL.27,33_IN3.htm"
317,Boston Consulting Group,Senior Data Scientist,$200K - CA$220K,CA$200K,CA$220K,"/Salary/Boston-Consulting-Group-Senior-Data-Scientist-Canada-Salaries-EJI_IE3879.0,23_KO24,45_IL.46,52_IN3.htm"
318,CHEO,Senior Data Scientist,$81K - CA$88K,CA$81K,CA$88K,"/Salary/CHEO-Senior-Data-Scientist-Canada-Salaries-EJI_IE479151.0,4_KO5,26_IL.27,33_IN3.htm"
319,Mozilla,Senior Data Scientist,$139K - CA$148K,CA$139K,CA$148K,"/Salary/Mozilla-Senior-Data-Scientist-Canada-Salaries-EJI_IE19129.0,7_KO8,29_IL.30,36_IN3.htm"
320,SurveyMonkey,Senior Data Scientist,$130K - CA$140K,CA$130K,CA$140K,"/Salary/SurveyMonkey-Senior-Data-Scientist-Canada-Salaries-EJI_IE347449.0,12_KO13,34_IL.35,41_IN3.htm"
321,GE Digital,Senior Data Scientist,$127K - CA$139K,CA$127K,CA$139K,"/Salary/GE-Digital-Senior-Data-Scientist-Canada-Salaries-EJI_IE714224.0,10_KO11,32_IL.33,39_IN3.htm"
322,Teradata,Senior Data Scientist,$100K - CA$108K,CA$100K,CA$108K,"/Salary/Teradata-Senior-Data-Scientist-Canada-Salaries-EJI_IE14638.0,8_KO9,30_IL.31,37_IN3.htm"
323,Environment and Climate Change Canada,Senior Data Scientist,$107K - CA$117K,CA$107K,CA$117K,"/Salary/Environment-and-Climate-Change-Canada-Senior-Data-Scientist-Canada-Salaries-EJI_IE2550641.0,37_KO38,59_IL.60,66_IN3.htm"
324,Facebook,Senior Data Scientist,$170K - CA$181K,CA$170K,CA$181K,"/Salary/Facebook-Senior-Data-Scientist-Canada-Salaries-EJI_IE40772.0,8_KO9,30_IL.31,37_IN3.htm"
325,AeroInfo Systems,Senior Data Scientist,$114K - CA$123K,CA$114K,CA$123K,"/Salary/AeroInfo-Systems-Senior-Data-Scientist-Canada-Salaries-EJI_IE40049.0,16_KO17,38_IL.39,45_IN3.htm"
326,1QB Information Technologies 1QBit,Senior Data Scientist,$70K - CA$77K,CA$70K,CA$77K,"/Salary/1QB-Information-Technologies-1QBit-Senior-Data-Scientist-Canada-Salaries-EJI_IE867487.0,34_KO35,56_IL.57,63_IN3.htm"
327,Exiger,Senior Data Scientist,$144K - CA$157K,CA$144K,CA$157K,"/Salary/Exiger-Senior-Data-Scientist-Canada-Salaries-EJI_IE958023.0,6_KO7,28_IL.29,35_IN3.htm"
328,BlueDot,Senior Data Scientist,$77K - CA$83K,CA$77K,CA$83K,"/Salary/BlueDot-Senior-Data-Scientist-Canada-Salaries-EJI_IE1478031.0,7_KO8,29_IL.30,36_IN3.htm"
329,Altus Assessments,Senior Data Scientist,$95K - CA$104K,CA$95K,CA$104K,"/Salary/Altus-Assessments-Senior-Data-Scientist-Canada-Salaries-EJI_IE1178744.0,17_KO18,39_IL.40,46_IN3.htm"
330,Talan,Senior Data Scientist,$106K - CA$115K,CA$106K,CA$115K,"/Salary/Talan-Senior-Data-Scientist-Canada-Salaries-EJI_IE485967.0,5_KO6,27_IL.28,34_IN3.htm"
331,Apply Digital,Senior Data Scientist,$133K - CA$145K,CA$133K,CA$145K,"/Salary/Apply-Digital-Senior-Data-Scientist-Canada-Salaries-EJI_IE1628012.0,13_KO14,35_IL.36,42_IN3.htm"
332,Ivado Labs,Senior Data Scientist,$146K - CA$156K,CA$146K,CA$156K,"/Salary/Ivado-Labs-Senior-Data-Scientist-Canada-Salaries-EJI_IE2352584.0,10_KO11,32_IL.33,39_IN3.htm"
333,Kinsol Research,Senior Data Scientist,$93K - CA$102K,CA$93K,CA$102K,"/Salary/Kinsol-Research-Senior-Data-Scientist-Canada-Salaries-EJI_IE4047272.0,15_KO16,37_IL.38,44_IN3.htm"
334,NA,Senior Data Scientist,$90K - CA$96K,CA$90K,CA$96K,"/Salary/NA-Senior-Data-Scientist-Canada-Salaries-EJI_IE3406362.0,2_KO3,24_IL.25,31_IN3.htm"
335,Brilent,Senior Data Scientist,$119K - CA$131K,CA$119K,CA$131K,"/Salary/Brilent-Senior-Data-Scientist-Canada-Salaries-EJI_IE1145544.0,7_KO8,29_IL.30,36_IN3.htm"
336,GoDaddy,Senior Data Scientist,$139K - CA$150K,CA$139K,CA$150K,"/Salary/GoDaddy-Senior-Data-Scientist-Canada-Salaries-EJI_IE35337.0,7_KO8,29_IL.30,36_IN3.htm"
337,Imbellus,Senior Data Scientist,$130K - CA$140K,CA$130K,CA$140K,"/Salary/Imbellus-Senior-Data-Scientist-Canada-Salaries-EJI_IE2286038.0,8_KO9,30_IL.31,37_IN3.htm"
338,TD,Junior Data Scientist - Intern,$48K - CA$52K,CA$48K,CA$52K,"/Intern-Salary/TD-Canada-Internship-Salary-EI_IE3767.0,2_IL.3,9_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
339,RBC,Junior Data Scientist,$53K - CA$58K,CA$53K,CA$58K,"/Salary/RBC-Junior-Data-Scientist-Canada-Salaries-EJI_IE3358.0,3_KO4,25_IL.26,32_IN3.htm"
340,Scotiabank,Junior Data Scientist - Hourly Intern,$22 - CA$24hourly,CA$22,CA$24,"/Intern-Salary/Scotiabank-Canada-Internship-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
341,University of Toronto,Junior Data Scientist - Hourly Contractor,$36 - CA$39hourly,CA$36,CA$39,"/Contractors-Salary/University-of-Toronto-Canada-Contractor-Salary-EI_IE31043.0,21_IL.22,28_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
342,Rogers Communications,Junior Data Scientist - Monthly,$4K - CA$4K,CA$4K,CA$4K,"/Monthly-Pay/Rogers-Communications-Junior-Data-Scientist-Canada-Monthly-Pay-EJI_IE3783.0,21_KO22,43_IL.44,50_IN3.htm"
343,Bell Canada,Junior Data Scientist,$49K - CA$53K,CA$49K,CA$53K,"/Salary/Bell-Canada-Junior-Data-Scientist-Canada-Salaries-EJI_IE118159.0,11_KO12,33_IL.34,40_IN3.htm"
344,Bell Canada,Junior Data Scientist - Hourly Contractor,$19 - CA$20hourly,CA$19,CA$20,"/Contractors-Salary/Bell-Canada-Canada-Contractor-Salary-EI_IE118159.0,11_IL.12,18_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
345,Government of Canada,Junior Data Scientist,$75K - CA$81K,CA$75K,CA$81K,"/Salary/Government-of-Canada-Junior-Data-Scientist-Canada-Salaries-EJI_IE156734.0,20_KO21,42_IL.43,49_IN3.htm"
346,Intact,Junior Data Scientist,$57K - CA$62K,CA$57K,CA$62K,"/Salary/Intact-Junior-Data-Scientist-Canada-Salaries-EJI_IE329903.0,6_KO7,28_IL.29,35_IN3.htm"
347,Flipp,Junior Data Scientist - Monthly Intern,$3K - CA$3K,CA$3K,CA$3K,"/Intern-Salary/Flipp-Canada-Internship-Salary-EI_IE970799.0,5_IL.6,12_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
348,BiblioCommons,Junior Data Scientist - Contractor,$53K - CA$57K,CA$53K,CA$57K,"/Contractors-Salary/BiblioCommons-Canada-Contractor-Salary-EI_IE512616.0,13_IL.14,20_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
349,Two Hat Security,Junior Data Scientist - Monthly Intern,$2K - CA$3K,CA$2K,CA$3K,"/Intern-Salary/Two-Hat-Security-Canada-Internship-Salary-EI_IE1327313.0,16_IL.17,23_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
350,Unity Health Toronto,Junior Data Scientist,$71K - CA$77K,CA$71K,CA$77K,"/Salary/Unity-Health-Toronto-Junior-Data-Scientist-Canada-Salaries-EJI_IE3340751.0,20_KO21,42_IL.43,49_IN3.htm"
351,Boréalis (Canada),Junior Data Scientist,$53K - CA$58K,CA$53K,CA$58K,"/Salary/Borealis-Canada-Junior-Data-Scientist-Canada-Salaries-EJI_IE2467768.0,15_KO16,37_IL.38,44_IN3.htm"
352,"GE Lighting, A Savant Company",Junior Data Scientist - Contractor,$62K - CA$68K,CA$62K,CA$68K,"/Contractors-Salary/GE-Lighting-A-Savant-Company-Canada-Contractor-Salary-EI_IE1359858.0,28_IL.29,35_IN3.htm?filter.jobTitleFTS=Junior+Data+Scientist"
353,Fiddlehead,Junior Data Scientist,$53K - CA$56K,CA$53K,CA$56K,"/Salary/Fiddlehead-Junior-Data-Scientist-Canada-Salaries-EJI_IE2096354.0,10_KO11,32_IL.33,39_IN3.htm"
354,Genworth,Associate Data Scientist - Hourly Contractor,$25 - CA$27hourly,CA$25,CA$27,"/Contractors-Salary/Genworth-Canada-Contractor-Salary-EI_IE34925.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Associate+Data+Scientist"
355,Banque Nationale du Canada/National Bank of Canada,Lead Data Scientist,$88K - CA$96K,CA$88K,CA$96K,"/Salary/Banque-Nationale-du-Canada-National-Bank-of-Canada-Lead-Data-Scientist-Canada-Salaries-EJI_IE8010.0,50_KO51,70_IL.71,77_IN3.htm"
356,Orbis Investments,Lead Data Scientist,$141K - CA$153K,CA$141K,CA$153K,"/Salary/Orbis-Investments-Lead-Data-Scientist-Canada-Salaries-EJI_IE426635.0,17_KO18,37_IL.38,44_IN3.htm"
357,2nd Address,Lead Data Scientist,$114K - CA$126K,CA$114K,CA$126K,"/Salary/2nd-Address-Lead-Data-Scientist-Canada-Salaries-EJI_IE1197601.0,11_KO12,31_IL.32,38_IN3.htm"
358,IBM,Data Scientist Intern - Monthly,$5K - CA$5K,CA$5K,CA$5K,"/Intern-Salary/IBM-Canada-Internship-Salary-EI_IE354.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist+Intern"
359,Capital One,Data Scientist Intern - Hourly,$23 - CA$25hourly,CA$23,CA$25,"/Intern-Salary/Capital-One-Canada-Internship-Salary-EI_IE3736.0,11_IL.12,18_IN3.htm?filter.jobTitleFTS=Data+Scientist+Intern"
360,Elsevier,Data Scientist II,$106K - CA$113K,CA$106K,CA$113K,"/Salary/Elsevier-Data-Scientist-II-Canada-Salaries-EJI_IE230096.0,8_KO9,26_IL.27,33_IN3.htm"
361,Loblaw Digital,Principal Data Scientist,$140K - CA$151K,CA$140K,CA$151K,"/Salary/Loblaw-Digital-Principal-Data-Scientist-Canada-Salaries-EJI_IE1263777.0,14_KO15,39_IL.40,46_IN3.htm"
362,Intact,Intern data scientist - Hourly,$28 - CA$30hourly,CA$28,CA$30,"/Intern-Salary/Intact-Canada-Internship-Salary-EI_IE329903.0,6_IL.7,13_IN3.htm?filter.jobTitleFTS=Intern+data+scientist"
363,Loblaw Companies,Data Science Analyst,$67K - CA$73K,CA$67K,CA$73K,"/Salary/Loblaw-Companies-Data-Science-Analyst-Canada-Salaries-EJI_IE4141.0,16_KO17,37_IL.38,44_IN3.htm"
364,Canadian Tire,Data Science Analyst,$66K - CA$72K,CA$66K,CA$72K,"/Salary/Canadian-Tire-Data-Science-Analyst-Canada-Salaries-EJI_IE7045.0,13_KO14,34_IL.35,41_IN3.htm"
365,Cirque du Soleil Entertainment Group,Data Science Manager,$95K - CA$105K,CA$95K,CA$105K,"/Salary/Cirque-du-Soleil-Entertainment-Group-Data-Science-Manager-Canada-Salaries-EJI_IE7495.0,36_KO37,57_IL.58,64_IN3.htm"
366,1000ml,Data Science Consultant - Monthly Contractor,$3K - CA$3K,CA$3K,CA$3K,"/Contractors-Salary/1000ml-Canada-Contractor-Salary-EI_IE3030383.0,6_IL.7,13_IN3.htm?filter.jobTitleFTS=Data+Science+Consultant"
367,Avanade,Data Scientist Manager,$125K - CA$135K,CA$125K,CA$135K,"/Salary/Avanade-Data-Scientist-Manager-Canada-Salaries-EJI_IE11701.0,7_KO8,30_IL.31,37_IN3.htm"
368,dunnhumby,Applied Data Scientist,$63K - CA$68K,CA$63K,CA$68K,"/Salary/dunnhumby-Applied-Data-Scientist-Canada-Salaries-EJI_IE195922.0,9_KO10,32_IL.33,39_IN3.htm"
369,Scotiabank,Data Scientist Co-op - Hourly Intern,$29 - CA$31hourly,CA$29,CA$31,"/Intern-Salary/Scotiabank-Canada-Internship-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
370,Scotiabank,Data Scientist Co-op - Hourly Contractor,$38 - CA$42hourly,CA$38,CA$42,"/Contractors-Salary/Scotiabank-Canada-Contractor-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
371,CIBC,Data Scientist Co-op - Intern,$45K - CA$49K,CA$45K,CA$49K,"/Intern-Salary/CIBC-Canada-Internship-Salary-EI_IE3115.0,4_IL.5,11_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
372,CIBC,Data Scientist Co-op - Hourly Intern,$27 - CA$29hourly,CA$27,CA$29,"/Intern-Salary/CIBC-Canada-Internship-Salary-EI_IE3115.0,4_IL.5,11_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
373,IBM,Data Scientist Co-op - Hourly Intern,$24 - CA$26hourly,CA$24,CA$26,"/Intern-Salary/IBM-Canada-Internship-Salary-EI_IE354.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
374,KPMG,Data Scientist Co-op - Intern,$47K - CA$51K,CA$47K,CA$51K,"/Intern-Salary/KPMG-Canada-Internship-Salary-EI_IE2867.0,4_IL.5,11_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
375,Shopify,Data Scientist Co-op,$68K - CA$73K,CA$68K,CA$73K,/Salary/Shopify-Data-Scientist-Co-op-Canada-Salaries-E675933_DAO.htm?filter.jobTitleExact=Data+Scientist+Co-op&selectedLocationString=N%2C3
376,Ontario Ministère des Transports,Data Scientist Co-op,$35K - CA$37K,CA$35K,CA$37K,/Salary/Ontario-Ministere-des-Transports-Data-Scientist-Co-op-Canada-Salaries-E156350_DAO.htm?filter.jobTitleExact=Data+Scientist+Co-op&selectedLocationString=N%2C3
377,Statistics Canada,Data Scientist Co-op - Hourly Contractor,$21 - CA$22hourly,CA$21,CA$22,"/Contractors-Salary/Statistics-Canada-Canada-Contractor-Salary-EI_IE148502.0,17_IL.18,24_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
378,Unilever,Data Scientist Co-op - Hourly,$21 - CA$23hourly,CA$21,CA$23,/Hourly-Pay/Unilever-Data-Scientist-Co-op-Canada-Hourly-Pay-E3513_DAO.htm?filter.jobTitleExact=Data+Scientist+Co-op&selectedLocationString=N%2C3
379,BioWare,Data Scientist Co-op - Intern,$46K - CA$50K,CA$46K,CA$50K,"/Intern-Salary/BioWare-Canada-Internship-Salary-EI_IE22998.0,7_IL.8,14_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
380,FGF Brands,Data Scientist Co-op - Hourly Intern,$20 - CA$22hourly,CA$20,CA$22,"/Intern-Salary/FGF-Brands-Canada-Internship-Salary-EI_IE700647.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
381,Precima,Data Scientist Co-op - Hourly Intern,$31 - CA$33hourly,CA$31,CA$33,"/Intern-Salary/Precima-Canada-Internship-Salary-EI_IE1140584.0,7_IL.8,14_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
382,Ayogo Health,Data Scientist Co-op - Monthly Intern,$4K - CA$4K,CA$4K,CA$4K,"/Intern-Salary/Ayogo-Health-Canada-Internship-Salary-EI_IE942024.0,12_IL.13,19_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
383,Samplits,Data Scientist Co-op - Monthly Intern,$888 - CA$950,CA$888,CA$950,"/Intern-Salary/Samplits-Canada-Internship-Salary-EI_IE2130029.0,8_IL.9,15_IN3.htm?filter.jobTitleFTS=Data+Scientist+Co-op"
384,Buyavette,Data Scientist Co-op - Hourly,$21 - CA$23hourly,CA$21,CA$23,/Hourly-Pay/Buyavette-Data-Scientist-Co-op-Canada-Hourly-Pay-E1310856_DAO.htm?filter.jobTitleExact=Data+Scientist+Co-op&selectedLocationString=N%2C3
385,IATA,Head of Data Science,$173K - CA$183K,CA$173K,CA$183K,"/Salary/IATA-Head-of-Data-Science-Canada-Salaries-EJI_IE142523.0,4_KO5,25_IL.26,32_IN3.htm"
386,IBM,Data Scientist/Software Engineer - Hourly Intern,$25 - CA$28hourly,CA$25,CA$28,"/Intern-Salary/IBM-Canada-Internship-Salary-EI_IE354.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist%2FSoftware+Engineer"
387,RBC,Data Scientist Coop,$52K - CA$56K,CA$52K,CA$56K,"/Salary/RBC-Data-Scientist-Coop-Canada-Salaries-EJI_IE3358.0,3_KO4,23_IL.24,30_IN3.htm"
388,RBC,Data Scientist Coop - Hourly Intern,$25 - CA$26hourly,CA$25,CA$26,"/Intern-Salary/RBC-Canada-Internship-Salary-EI_IE3358.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist+Coop"
389,RBC,Data Scientist Coop - Intern,$52K - CA$57K,CA$52K,CA$57K,"/Intern-Salary/RBC-Canada-Internship-Salary-EI_IE3358.0,3_IL.4,10_IN3.htm?filter.jobTitleFTS=Data+Scientist+Coop"
390,Scotiabank,Data Scientist Coop - Intern,$79K - CA$85K,CA$79K,CA$85K,"/Intern-Salary/Scotiabank-Canada-Internship-Salary-EI_IE11013.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Scientist+Coop"
391,CIBC,Data Scientist Coop,$46K - CA$50K,CA$46K,CA$50K,"/Salary/CIBC-Data-Scientist-Coop-Canada-Salaries-EJI_IE3115.0,4_KO5,24_IL.25,31_IN3.htm"
392,University of Victoria,Data Scientist Coop,$38K - CA$41K,CA$38K,CA$41K,"/Salary/University-of-Victoria-Data-Scientist-Coop-Canada-Salaries-EJI_IE146432.0,22_KO23,42_IL.43,49_IN3.htm"
393,Fraser Health,Data Scientist Coop - Hourly,$20 - CA$22hourly,CA$20,CA$22,"/Hourly-Pay/Fraser-Health-Data-Scientist-Coop-Canada-Hourly-Pay-EJI_IE248782.0,13_KO14,33_IL.34,40_IN3.htm"
394,Athabasca University,Manager - Data Science,$97K - CA$105K,CA$97K,CA$105K,/Salary/Athabasca-University-Manager-Data-Science-Canada-Salaries-E471233_DAO.htm?filter.jobTitleExact=Manager+-+Data+Science&selectedLocationString=N%2C3
395,Athabasca University,Manager - Data Science,$96K - CA$105K,CA$96K,CA$105K,/Salary/Athabasca-University-Manager-Data-Science-Canada-Salaries-E471233_DAO.htm?filter.jobTitleExact=Manager+-+Data+Science&selectedLocationString=N%2C3
396,Major cannabis company,Manager - Data Science,$91K - CA$98K,CA$91K,CA$98K,/Salary/Major-cannabis-company-Manager-Data-Science-Canada-Salaries-E3519586_DAO.htm?filter.jobTitleExact=Manager+-+Data+Science&selectedLocationString=N%2C3
397,goeasy,Sr Manager Data Science,$129K - CA$140K,CA$129K,CA$140K,"/Salary/goeasy-Sr-Manager-Data-Science-Canada-Salaries-EJI_IE19965.0,6_KO7,30_IL.31,37_IN3.htm"
398,EMAGIN Clean Technologies,Data Science Lead - Hourly,$48 - CA$52hourly,CA$48,CA$52,"/Hourly-Pay/EMAGIN-Clean-Technologies-Data-Science-Lead-Canada-Hourly-Pay-EJI_IE2347094.0,25_KO26,43_IL.44,50_IN3.htm"
399,Capital One,Senior Associate Data Science,$85K - CA$91K,CA$85K,CA$91K,"/Salary/Capital-One-Senior-Associate-Data-Science-Canada-Salaries-EJI_IE3736.0,11_KO12,41_IL.42,48_IN3.htm"
400,Softchoice,Data Science and Analytics - Intern,$45K - CA$49K,CA$45K,CA$49K,"/Intern-Salary/Softchoice-Canada-Internship-Salary-EI_IE23804.0,10_IL.11,17_IN3.htm?filter.jobTitleFTS=Data+Science+and+Analytics"
